"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 07 15:38:52 CST 2022","Thu Apr 07 15:38:52 CST 2022","80","test_case.test_login","test_login","TestLogin","","","test_login2[login_data0]",""
"broken","Wed Apr 06 16:14:10 CST 2022","Wed Apr 06 16:14:10 CST 2022","0","test_case.test_login","test_login","TestLogin","","","test_login[2-args0]",""
"broken","Wed Apr 06 16:14:10 CST 2022","Wed Apr 06 16:14:10 CST 2022","0","test_case.test_login","test_login","TestLogin","","","test_login[3-args0]",""
"passed","Thu Apr 07 15:38:52 CST 2022","Thu Apr 07 15:38:52 CST 2022","77","test_case.test_login","test_login","TestLogin","","","test_login2[login_data1]",""
"passed","Wed Apr 06 15:18:43 CST 2022","Wed Apr 06 15:18:43 CST 2022","93","test_case.test_login","test_login","TestLogin","","","test_login1[args0]",""
"passed","Wed Apr 06 15:18:43 CST 2022","Wed Apr 06 15:18:43 CST 2022","0","test_case.test_login","test_login","TestLogin","","","test_login3",""
"passed","Thu Apr 07 15:38:52 CST 2022","Thu Apr 07 15:38:52 CST 2022","95","test_case.test_login","test_login","TestLogin","","","测试登录功能正常",""
"broken","Wed Apr 06 16:14:10 CST 2022","Wed Apr 06 16:14:10 CST 2022","0","test_case.test_login","test_login","TestLogin","","","test_login[1-args0]",""
"passed","Wed Apr 06 13:41:36 CST 2022","Wed Apr 06 13:41:36 CST 2022","132","test_case.test_login","test_login","TestLogin","","","test_login2[args0]",""
"passed","Wed Apr 06 15:18:43 CST 2022","Wed Apr 06 15:18:43 CST 2022","0","test_case.test_login","test_login","TestLogin","","","test_login4",""
"broken","Thu Apr 07 14:53:52 CST 2022","Thu Apr 07 14:53:52 CST 2022","0","test_case.test_login","test_login","TestLogin","","","test_login2",""
